Year,Make,Model,Trim,Body,Cab Type,Truck Bed Size,Exterior Condition,Interior Condition,Drive Type,Dealer License,Stock Number,Transmission,Liters,Cylinders,Fuel Type,Number of Doors,Number of Seat Belts,Mileage,VIN,Title Type,Exterior Color,Interior Color,Price,Views
2009,Toyota,Tacoma,TRD Off Road,Truck,Not Specified,Not Specified,Excellent,Very Good,4-Wheel Drive,Not Specified,Not Specified,Automatic,4.0L,6,Gasoline,4,Not Specified,137329,5TELU42N89Z616379,Clean Title,White,Black,21000,232
2005,Toyota,Prius,Base,Hatchback,Not Specified,Not Specified,Not Specified,Not Specified,FWD,Not Specified,Not Specified,Automatic,1.5L,4,Hybrid,4,5,220100,JTDKB20U153127962,Clean Title,Not Specified,Not Specified,3600,85
2020,Toyota,4Runner,SR5 Premium,Sport Utility,Crew Cab,Not Specified,Excellent,Excellent,4-Wheel Drive,Not Specified,Not Specified,Automatic,4.0L,6,Gasoline,4,7,62000,JTEBU5JR9L5794409,Clean Title,White,Black,33000,178
2006,Toyota,Tacoma,PreRunner,Truck,Not Specified,Not Specified,Good,Good,2-Wheel Drive,Not Specified,Not Specified,Automatic,Not Specified,Not Specified,Not Specified,4,Not Specified,165000,5TEJU62N86Z294700,Clean Title,Black,Not Specified,15500,311
2021,Toyota,Tacoma,TRD Off-Road,Truck,Not Specified,Not Specified,Excellent,Excellent,4-Wheel Drive,Not Specified,Not Specified,Automatic,Not Specified,6,Gasoline,4,Not Specified,41000,3TMCZ5AN6MM380233,Clean Title,Red,Black,38500,201
2017,Toyota,Land Cruiser,Not Specified,SUV,Not Specified,Not Specified,Excellent,Excellent,4-Wheel Drive,Not Specified,Not Specified,Not Specified,Not Specified,8,Not Specified,Not Specified,Not Specified,43000,JTMCY7AJ5H4050466,Clean Title,Gray,Brown,68500,245
2015,Toyota,Sequoia,Platinum,SUV,Not Specified,Not Specified,Very Good,Very Good,4-Wheel Drive,Not Specified,Not Specified,Automatic,5.7L,8,Gasoline,4,Not Specified,112500,5TDDY5G14FS121772,Clean Title,Black,Brown,32500,139
2021,Toyota,Tacoma,TRD Off Road,Truck,Not Specified,Not Specified,Excellent,Excellent,4-Wheel Drive,Not Specified,Not Specified,Automatic,3.5L,6,Gasoline,4,Not Specified,17840,3TMCZ5AN0MM383614,Rebuilt/Reconstructed Title,Red,Black,29499,598
2009,Toyota,Tacoma,V6,Truck,Extended Cab,Standard Shortbed,Good,Good,4-Wheel Drive,Not Specified,Not Specified,Manual,4.0L,6,Gasoline,4,4,137000,5TEUU42N09Z592793,Clean Title,Silver,Gray,7500,0
2004,Toyota,Corolla,S,Sedan,Not Specified,Not Specified,Fair,Good,FWD,Not Specified,Not Specified,Automatic,1.8L,4,Gasoline,4,Not Specified,188600,1NXBR32E04Z239177,Rebuilt/Reconstructed Title,Red,Black,3500,1606
2015,Toyota,Tundra,Limited,Truck,Not Specified,Not Specified,Very Good,Very Good,4-Wheel Drive,Not Specified,Not Specified,Automatic,5.7L,8,Gasoline,4,Not Specified,181341,5TFHW5F17FX430364,Clean Title,Gray,Black,25975,596
2002,Toyota,Highlander,Not Specified,SUV,Not Specified,Not Specified,Fair,Good,AWD,Not Specified,Not Specified,Automatic,3.0L,6,Gasoline,4,Not Specified,186000,JTEHF21A120095378,Clean Title,Green,Tan,4600,616
2015,Toyota,Tundra,Platinum,Truck,Not Specified,Not Specified,Very Good,Very Good,4-Wheel Drive,Not Specified,Not Specified,Automatic,5.7L,8,Flex Fuel,4,Not Specified,131500,5TFAW5F1XFX481245,Clean Title,Gray,Black,27995,923
2005,Toyota,Tacoma,PreRunner,Truck,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Automatic,Not Specified,4,Gasoline,2,Not Specified,205000,5TENX22N55Z043827,Clean Title,Not Specified,Not Specified,8200,362
2010,Toyota,Corolla,S,Sedan,Not Specified,Not Specified,Fair,Fair,FWD,Not Specified,Not Specified,Manual,Not Specified,4,Gasoline,4,Not Specified,150000,1NXBU4EE2AZ280972,Clean Title,Black,Black,8200,259
2002,Toyota,4Runner,Limited,SUV,Not Specified,Not Specified,Not Specified,Good,4-Wheel Drive,Not Specified,Not Specified,Automatic,Not Specified,6,Gasoline,Not Specified,Not Specified,209000,JT3HN87R920376548,Clean Title,Not Specified,Not Specified,10000,274
2015,Toyota,4Runner,SR5,SUV,Not Specified,Not Specified,Good,Very Good,4-Wheel Drive,Not Specified,Not Specified,Automanual,4.0L,6,Gasoline,4,5,118796,JTEBU5JR7F5250186,Clean Title,Black,Black,20500,808
2018,Toyota,4Runner,TRD Off Road Premium,SUV,Not Specified,Not Specified,Good,Very Good,Not Specified,Not Specified,Not Specified,Automatic,Not Specified,6,Not Specified,4,Not Specified,105000,JTEBU5JR1J5515077,Clean Title,Gray,Black,30000,153
2022,Toyota,Camry,SE,Sedan,Not Specified,Not Specified,Not Specified,Not Specified,FWD,Not Specified,Not Specified,Not Specified,Not Specified,4,Gasoline,4,Not Specified,44491,4T1G11AK1NU667253,Clean Title,Silver,Black,24500,207
2008,Toyota,Prius,Base,Hatchback,Not Specified,Not Specified,Not Specified,Not Specified,FWD,Not Specified,Not Specified,Not Specified,1.5L,4,Hybrid,4,5,149000,JTDKB20U783412802,Rebuilt/Reconstructed Title,Not Specified,Not Specified,4800,166
2014,Toyota,Tundra,SR5,Truck,Crew Cab,Shortbed,Very Good,Very Good,4-Wheel Drive,Not Specified,Not Specified,Automanual,5.7L,8,Gasoline,4,6,150000,5TFDW5F19EX412574,Clean Title,Black,Black,30000,91
2014,Toyota,Corolla,S,Sedan,Not Specified,Not Specified,Very Good,Very Good,FWD,Not Specified,Not Specified,Automatic,1.8L,4,Gasoline,4,Not Specified,207490,5YFBURHE5EP174922,Clean Title,White,Black,7500,135
1988,Toyota,Pickup,One Ton,Truck,Not Specified,Not Specified,Not Specified,Fair,RWD,Not Specified,Not Specified,Manual,1.6L,4,Gasoline,2,Not Specified,191000,JT4RN55E0J0264542,Clean Title,Other,Creme,3500,1498
2012,Toyota,Sienna,XLE 7 Passenger,Minivan,Not Specified,Not Specified,Excellent,Excellent,AWD,Not Specified,Not Specified,Automatic,Not Specified,6,Gasoline,4,Not Specified,243000,5TDDK3DC1CS032152,Clean Title,Gray,Gray,7995,80
1996,Toyota,4Runner,Limited,SUV,Not Specified,Not Specified,Good,Fair,4-Wheel Drive,Not Specified,Not Specified,Automatic,3.4L,6,Gasoline,4,5,303490,JT3HN87R1T0006129,Clean Title,Silver,Beige,3500,3353
1996,Toyota,Camry,Not Specified,Sedan,Not Specified,Not Specified,Poor,Good,FWD,Not Specified,Not Specified,Automatic,Not Specified,6,Gasoline,4,Not Specified,266091,4T1BF12K8TU128376,Not Specified,Tan,Tan,1300,119
2008,Toyota,Camry Solara,Not Specified,Convertible,Not Specified,Not Specified,Fair,Fair,FWD,Not Specified,Not Specified,Automatic,Not Specified,6,Gasoline,2,Not Specified,187871,4T1FA38P38U152039,Clean Title,Not Specified,Not Specified,6500,96
2006,Toyota,Tacoma,V6,Truck,Crew Cab,Shortbed,Fair,Good,4-Wheel Drive,Not Specified,Not Specified,Automatic,4.0L,6,Gasoline,4,5,219300,5TELU42N46Z273856,Clean Title,White,Gray,9999,669
2008,Toyota,Sienna,LE 8-Passenger,Minivan,Not Specified,Not Specified,Very Good,Excellent,FWD,Not Specified,Not Specified,Automatic,3.5L,6,Gasoline,4,8,253857,5TDZK23C38S142290,Clean Title,Blue,Gray,6900,24
1992,Toyota,MR2,Base,Coupe,Not Specified,Not Specified,Fair,Fair,Not Specified,Not Specified,Not Specified,Manual,Not Specified,4,Not Specified,2,Not Specified,180000,JT2SW21N2N0017184,Clean Title,Blue,Blue,6800,3840
1983,Toyota,Celica,GT-S,Hatchback,Not Specified,Not Specified,Poor,Poor,RWD,Not Specified,Not Specified,Manual,2.4L,4,Gasoline,2,4,206708,JT2RA65L6D4002840,Clean Title,White,Other,2700,2082
1991,Toyota,Land Cruiser,Not Specified,Truck,Not Specified,Not Specified,Good,Good,4-Wheel Drive,Not Specified,Not Specified,Not Specified,4.0L,6,Gasoline,4,Not Specified,199800,JT3FJ80W5M0019339,Clean Title,Gray,Gray,7400,2907
2012,Toyota,FJ Cruiser,Not Specified,Wagon,Not Specified,Not Specified,Not Specified,Not Specified,4-Wheel Drive,Not Specified,Not Specified,Automatic,Not Specified,6,Gasoline,4,Not Specified,122000,JTEBU4BF0CK130905,Rebuilt/Reconstructed Title,Red,Black,23000,565
2018,Toyota,Tundra,Limited,Truck,Not Specified,Not Specified,Not Specified,Excellent,4-Wheel Drive,Not Specified,Not Specified,Automatic,5.7L,8,Gasoline,4,Not Specified,49600,5TFHY5F18JX740638,Rebuilt/Reconstructed Title,Red,Not Specified,34000,1111
2018,Toyota,Camry,SE,Sedan,Not Specified,Not Specified,Good,Excellent,FWD,Not Specified,Not Specified,Automatic,2.5L,4,Gasoline,4,5,114000,4T1B11HK1JU613364,Rebuilt/Reconstructed Title,Silver,Black,13900,766
2000,Toyota,Tundra,Limited,Truck,Not Specified,Not Specified,Good,Good,4-Wheel Drive,Not Specified,Not Specified,Automatic,4.7L,8,Gasoline,4,Not Specified,263000,5TBBT4818YS085000,Clean Title,White,Brown,5000,253
2011,Toyota,Prius,Not Specified,Hatchback,Not Specified,Not Specified,Very Good,Very Good,2-Wheel Drive,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Hybrid,4,Not Specified,202000,JTDKN3DU8B5321721,Clean Title,Gray,Gray,6300,41
2009,Toyota,Matrix,XRS,Hatchback,Not Specified,Not Specified,Good,Excellent,FWD,Not Specified,Not Specified,Automanual,2.4L,4,Gasoline,4,Not Specified,164572,2T1GE40E29C002242,Clean Title,White,Black,5500,179
2010,Toyota,Corolla,S,Sedan,Not Specified,Not Specified,Very Good,Very Good,2-Wheel Drive,Not Specified,Not Specified,Automanual,1.8L,4,Gasoline,4,Not Specified,168000,2T1BU4EE1AC445931,Clean Title,White,Black,5800,542
2022,Toyota,Highlander,XSE,SUV,Not Specified,Not Specified,Excellent,Excellent,AWD,Not Specified,Not Specified,Automatic,3.5L,6,Gasoline,4,Not Specified,83000,5TDJZRBH9NS180245,Clean Title,Blue,Black,35000000,257
2020,Toyota,GR Supra,3.0 Premium,Coupe,Not Specified,Not Specified,Excellent,Excellent,RWD,Not Specified,Not Specified,Automatic,3.0L,6,Gasoline,2,Not Specified,28000,WZ1DB4C01LW024597,Clean Title,White,Black,55000,275
2013,Toyota,RAV4,Limited,SUV,Not Specified,Not Specified,Very Good,Very Good,AWD,Not Specified,Not Specified,Automatic,2.5L,4,Gasoline,4,5,189788,JTMDFREV5DD012488,Clean Title,Silver,Black,10000,690
2010,Toyota,Prius,IV,Hatchback,Not Specified,Not Specified,Very Good,Excellent,FWD,Not Specified,Not Specified,CVT,1.8L,4,Hybrid,4,5,147000,JTDKN3DU8A5062677,Clean Title,Black,Gray,10200,79
2021,Toyota,Tacoma,TRD Off Road,Truck,Not Specified,Not Specified,Very Good,Very Good,4-Wheel Drive,Not Specified,Not Specified,Automanual,3.5L,6,Gasoline,4,Not Specified,76000,3TMCZ5AN7MM396358,Clean Title,Black,Gray,38000,72
2005,Toyota,Tundra,Base,Truck,Not Specified,Not Specified,Fair,Fair,4-Wheel Drive,Not Specified,Not Specified,Automatic,4.7L,8,Gasoline,4,Not Specified,187000,5TBDT44155S473554,Rebuilt/Reconstructed Title,Red,Gray,6900,537
2008,Toyota,Tacoma,V6,Truck,Crew Cab,Shortbed,Very Good,Excellent,4-Wheel Drive,Not Specified,Not Specified,Manual,4.0L,6,Gasoline,4,5,178000,5TELU42N68Z471390,Rebuilt/Reconstructed Title,White,Gray,18000,63
2012,Toyota,Tacoma,Base,Truck,Not Specified,Not Specified,Excellent,Excellent,2-Wheel Drive,Not Specified,Not Specified,Automatic,Not Specified,4,Not Specified,Not Specified,Not Specified,55800,5TFJX4CN6CX019663,Clean Title,White,Not Specified,19150,1610
2003,Toyota,Tundra,SR5,Truck,Extended Cab,Standard Shortbed,Not Specified,Not Specified,4-Wheel Drive,Not Specified,Not Specified,Automatic,4.7L,8,Gasoline,4,6,200000,5TBBT441X3S400913,Clean Title,Not Specified,Not Specified,5000,186
1974,Toyota,Land Cruiser,Not Specified,Wagon,Not Specified,Not Specified,Good,Good,4-Wheel Drive,Not Specified,Not Specified,Manual,Not Specified,6,Gasoline,2,Not Specified,1,XXXX.,Clean Title,Not Specified,Not Specified,10000,1924
2021,Toyota,Tacoma,Base,Truck,Not Specified,Not Specified,Excellent,Excellent,2-Wheel Drive,Not Specified,Not Specified,Automatic,Not Specified,4,Gasoline,4,Not Specified,39000,3TYAX5GN0MT031884,Clean Title,Gray,Gray,38700,61
2018,Toyota,Tacoma,TRD Off-Road,Truck,Crew Cab,Shortbed,Very Good,Excellent,4-Wheel Drive,Not Specified,Not Specified,Automatic,3.5L,6,Gasoline,4,5,98850,3TMCZ5AN4JM185307,Clean Title,White,Gray,28000,199
2015,Toyota,Tacoma,TRD Sport,Truck,Crew Cab,Shortbed,Very Good,Excellent,4-Wheel Drive,Not Specified,Not Specified,Automatic,4.0L,6,Gasoline,4,5,115000,3TMLU4EN3FM205024,Clean Title,Silver,Gray,53000,756
2014,Toyota,Tacoma,TRD Off-Road,Truck,Crew Cab,Shortbed,Good,Good,4-Wheel Drive,Not Specified,Not Specified,Automatic,4.0L,6,Gasoline,4,5,148993,3TMLU4EN6EM135307,Clean Title,White,Gray,19500,345
2008,Toyota,Tundra,SR5,Truck,Not Specified,Not Specified,Good,Good,4-Wheel Drive,Not Specified,Not Specified,Automatic,Not Specified,8,Not Specified,Not Specified,Not Specified,221000,5TFDV541X8X081787,Clean Title,Blue,Black,11000,215
2009,Toyota,Corolla,XLE,Sedan,Not Specified,Not Specified,Very Good,Excellent,FWD,Not Specified,Not Specified,Not Specified,1.8L,4,Gasoline,4,5,152240,1NXBU40E89Z077331,Clean Title,White,Gray,8250,475
2018,Toyota,Tacoma,SR5,Truck,Not Specified,Not Specified,Very Good,Very Good,4-Wheel Drive,Not Specified,Not Specified,Automatic,3.5L,6,Gasoline,4,Not Specified,67000,5TFSZ5AN1JX146311,Clean Title,White,Gray,29500,380
2004,Toyota,Tundra,Not Specified,Truck,Not Specified,Not Specified,Very Good,Very Good,2-Wheel Drive,Not Specified,Not Specified,Manual,3.4L,6,Gasoline,4,Not Specified,201000,5TBRN34174S448454,Clean Title,Gold,Beige,7400,159
2015,Toyota,Avalon,XLE Touring,Sedan,Not Specified,Not Specified,Very Good,Very Good,FWD,Not Specified,Not Specified,Automatic,3.5L,6,Gasoline,4,Not Specified,110000,4T1BK1EB3FU166545,Rebuilt/Reconstructed Title,Other,Tan,12499,373
2015,Toyota,Highlander,Limited Platinum,SUV,Not Specified,Not Specified,Excellent,Very Good,AWD,Not Specified,Not Specified,Automatic,Not Specified,6,Gasoline,4,Not Specified,52116,5TDDKRFH1FS143784,Clean Title,White,Tan,32000,321
2008,Toyota,Highlander,Limited,Sport Utility,Not Specified,Not Specified,Good,Good,AWD,Not Specified,Not Specified,Automatic,3.5L,6,Gasoline,4,7,144584,JTEES42A082088993,Clean Title,Gray,Gray,9900,143
2019,Toyota,Yaris,Not Specified,Sedan,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,4,Not Specified,Not Specified,Not Specified,60000,3MYDLBYV4KY508857,Rebuilt/Reconstructed Title,Silver,Not Specified,10000,1932
2014,Toyota,Tacoma,PreRunner V6,Truck,Not Specified,Not Specified,Good,Good,2-Wheel Drive,Not Specified,Not Specified,Automatic,4.0L,6,Gasoline,4,Not Specified,123000,3TMJU4GN0EM171210,Clean Title,Silver,Gray,24500,341
2020,Toyota,Camry Hybrid,SE,Sedan,Not Specified,Not Specified,Very Good,Very Good,FWD,Not Specified,Not Specified,Automatic,2.5L,4,Hybrid,4,5,79330,4T1G31AK7LU011453,Clean Title,Red,Gray,19000,156
2002,Toyota,Tacoma,SR5 V6,Truck,Not Specified,Not Specified,Fair,Fair,4-Wheel Drive,Not Specified,Not Specified,Manual,3.4L,6,Gasoline,2,Not Specified,203000,5TEWN72N02Z063700,Clean Title,Silver,Gray,4900,893
1997,Toyota,Tacoma,SR5,Truck,Not Specified,Not Specified,Fair,Good,4-Wheel Drive,Not Specified,Not Specified,Manual,3.4L,6,Gasoline,2,Not Specified,283100,4TAWN72N3VZ275082,Clean Title,White,Gray,9800,243
2014,Toyota,Corolla,S Plus,Sedan,Not Specified,Not Specified,Very Good,Very Good,FWD,Not Specified,Not Specified,Automatic,1.8L,4,Gasoline,4,5,110000,5YFBURHEXEP114425,Rebuilt/Reconstructed Title,Silver,Black,11550,226
2004,Toyota,Camry,LE,Sedan,Not Specified,Not Specified,Fair,Good,FWD,Not Specified,Not Specified,Automatic,Not Specified,4,Gasoline,4,Not Specified,244342,4T1BE32K34U366118,Clean Title,Green,Tan,3500,0
2013,Toyota,Avalon,Hybrid XLE,Sedan,Not Specified,Not Specified,Not Specified,Not Specified,FWD,Not Specified,Not Specified,Not Specified,2.5L,4,Hybrid,4,5,92500,4T1BD1EB1DU013007,Clean Title,White,Beige,15850,300
2019,Toyota,Tacoma,TRD Off Road,Truck,Not Specified,Not Specified,Very Good,Excellent,4-Wheel Drive,Not Specified,Not Specified,Automatic,Not Specified,6,Gasoline,4,Not Specified,100000,3TMCZ5ANXKM245561,Rebuilt/Reconstructed Title,White,Black,30000,184
2006,Toyota,Highlander,Hybrid Limited,SUV,Not Specified,Not Specified,Good,Good,FWD,Not Specified,Not Specified,Automatic,Not Specified,Not Specified,Hybrid,4,Not Specified,246000,JTEDW21A360010884,Clean Title,Silver,Beige,5999,52
2006,Toyota,Highlander,Base,SUV,Not Specified,Not Specified,Good,Good,AWD,Not Specified,Not Specified,Automatic,3.3L,6,Gasoline,4,7,202065,JTEEP21A560149769,Clean Title,Red,Tan,6000,803
2000,Toyota,Tacoma,SR5,Truck,Not Specified,Not Specified,Good,Very Good,4-Wheel Drive,Not Specified,Not Specified,Manual,Not Specified,6,Gasoline,2,Not Specified,285000,4TAWN72N6YZ612039,Clean Title,White,Tan,8800,297
2009,Toyota,Highlander,Hybrid Limited,SUV,Not Specified,Not Specified,Not Specified,Not Specified,AWD,Not Specified,Not Specified,Not Specified,Not Specified,6,Gasoline,Not Specified,Not Specified,157000,JTEEW44A492027388,Clean Title,White,Gray,11000,265
2011,Toyota,4Runner,SR5 Premium,Sport Utility,Not Specified,Not Specified,Very Good,Excellent,4-Wheel Drive,Not Specified,Not Specified,Automatic,4.0L,6,Gasoline,4,5,168400,JTEBU5JR1B5062810,Clean Title,Black,Black,19500,302
2011,Toyota,Camry,SE,Sedan,Not Specified,Not Specified,Very Good,Not Specified,FWD,Not Specified,Not Specified,Automanual,2.5L,4,Gasoline,4,5,217270,4T1BF3EK8BU650821,Clean Title,Silver,Not Specified,5900,349
1973,Toyota,Land Cruiser,Not Specified,SUV,Not Specified,Not Specified,Not Specified,Not Specified,4-Wheel Drive,Not Specified,Not Specified,Automatic,Not Specified,8,Gasoline,2,Not Specified,4846,LNDCR,Clean Title,Not Specified,Not Specified,40000,5009
2010,Toyota,Prius,II,Hatchback,Not Specified,Not Specified,Good,Good,FWD,Not Specified,Not Specified,CVT,1.8L,4,Hybrid,4,5,231000,JTDKN3DU3A1312575,Clean Title,Silver,Gray,3400,388
2022,Toyota,Tacoma,TRD Pro,Truck,Not Specified,Not Specified,Excellent,Excellent,4-Wheel Drive,Not Specified,Not Specified,Manual,Not Specified,6,Gasoline,4,Not Specified,21000,3TYCZ5AN1NT095428,Clean Title,Gray,Black,47900,324
1999,Toyota,Tacoma,SR5,Truck,Not Specified,Not Specified,Very Good,Good,4-Wheel Drive,Not Specified,Not Specified,Automatic,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,236000,4TAWN72N2XZ462591,Clean Title,White,Blue,10500,827
2015,Toyota,Prius,Five,Hatchback,Not Specified,Not Specified,Very Good,Excellent,FWD,Not Specified,Not Specified,Automatic,1.8L,4,Hybrid,4,Not Specified,166000,JTDKN3DUXF1984155,Clean Title,Red,Gray,11500,303
2022,Toyota,Corolla Hatchback,SE Nightshade Edition,Hatchback,Not Specified,Not Specified,Excellent,Excellent,2-Wheel Drive,Not Specified,Not Specified,CVT,2.0L,4,Gasoline,4,Not Specified,43905,JTND4MBE0N3157079,Clean Title,Silver,Not Specified,22200,42
2010,Toyota,Yaris,Base,Sedan,Not Specified,Not Specified,Very Good,Very Good,FWD,Not Specified,Not Specified,Automatic,1.5L,4,Gasoline,4,5,200850,JTDBT4K34A1352606,Rebuilt/Reconstructed Title,White,Gray,4300,99
2007,Toyota,FJ Cruiser,Not Specified,SUV,Not Specified,Not Specified,Fair,Fair,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,6,Not Specified,2,Not Specified,180000,JTEBU11F570074526,Clean Title,Silver,Not Specified,12000,292
2010,Toyota,Corolla,S,Sedan,Not Specified,Not Specified,Excellent,Excellent,FWD,Not Specified,Not Specified,Not Specified,1.8L,4,Gasoline,4,5,107913,2T1BU4EE0AC416341,Clean Title,White,Black,9500,417
1997,Toyota,Tacoma,Not Specified,Truck,Not Specified,Not Specified,Excellent,Excellent,2-Wheel Drive,Not Specified,Not Specified,Automatic,2.4L,4,Gasoline,2,Not Specified,148952,4TAVL52N5VZ270987,Clean Title,White,Gray,8000,383
2021,Toyota,Highlander,Hybrid Limited Platinum,SUV,Not Specified,Not Specified,Excellent,Excellent,AWD,Not Specified,Not Specified,Automatic,3.5L,4,Gasoline,4,Not Specified,45000,5TDEBRCH7MS051939,Clean Title,Gray,Black,41939,120
2010,Toyota,Tundra,Limited,Truck,Crew Cab,Standard Shortbed,Excellent,Excellent,4-Wheel Drive,Not Specified,Not Specified,Not Specified,5.7L,8,Flex Fuel,4,5,192529,5TFHW5F14AX121413,Clean Title,Red,Not Specified,18500,832
2020,Toyota,Corolla,SE,Sedan,Not Specified,Not Specified,Good,Excellent,2-Wheel Drive,Not Specified,Not Specified,Manual,Not Specified,4,Gasoline,4,Not Specified,67000,JTDM4RCE1LJ017082,Clean Title,Blue,Black,17900,91
2001,Toyota,Corolla,LE,Sedan,Not Specified,Not Specified,Fair,Excellent,FWD,Not Specified,Not Specified,Automatic,Not Specified,4,Gasoline,4,Not Specified,190000,1NXBR12E11Z535583,Clean Title,White,Gray,2900,362
2008,Toyota,Prius,Base,Hatchback,Not Specified,Not Specified,Very Good,Very Good,FWD,Not Specified,Not Specified,Automatic,1.5L,4,Hybrid,4,5,149821,JTDKB20U183456035,Clean Title,White,Beige,7400,892
2016,Toyota,Tundra,TRD Pro,Truck,Not Specified,Not Specified,Excellent,Excellent,4-Wheel Drive,Not Specified,Not Specified,Automatic,Not Specified,8,Not Specified,4,Not Specified,49100,5TFUW5F18GX533695,Clean Title,Silver,Gray,35500,287
2003,Toyota,Highlander,Not Specified,SUV,Not Specified,Not Specified,Excellent,Very Good,4-Wheel Drive,Not Specified,Not Specified,Automatic,Not Specified,6,Gasoline,4,Not Specified,279000,JTEHF21A730107874,Clean Title,White,Brown,3600,90
2000,Toyota,4Runner,Limited,SUV,Not Specified,Not Specified,Fair,Fair,4-Wheel Drive,Not Specified,Not Specified,Automatic,Not Specified,6,Gasoline,4,Not Specified,317000,JT3HN87RXY0273910,Clean Title,White,Not Specified,2700,886
2018,Toyota,Tacoma,TRD Off Road,Truck,Not Specified,Not Specified,Very Good,Very Good,4-Wheel Drive,Not Specified,Not Specified,Manual,Not Specified,6,Gasoline,4,Not Specified,49200,5TFCZ5AN0JX160477,Clean Title,White,Not Specified,35000,727
2014,Toyota,Sequoia,Limited,SUV,Not Specified,Not Specified,Very Good,Very Good,4-Wheel Drive,Not Specified,Not Specified,Automatic,5.7L,8,Flex Fuel,4,Not Specified,159000,5TDJW5G14ES101769,Clean Title,White,Gray,21950,195
2015,Toyota,Tacoma,PreRunner V6,Truck,Crew Cab,Shortbed,Excellent,Excellent,2-Wheel Drive,Not Specified,Not Specified,Automatic,4.0L,6,Gasoline,4,5,73500,5TFJU4GN9FX074258,Clean Title,Silver,Gray,29995,257
2002,Toyota,Avalon,XL,Sedan,Not Specified,Not Specified,Not Specified,Not Specified,FWD,Not Specified,Not Specified,Not Specified,Not Specified,6,Gasoline,4,Not Specified,197700,4T1BF28B82U211205,Clean Title,Gray,Gray,3000,142
1998,Toyota,4Runner,Limited,SUV,Not Specified,Not Specified,Very Good,Excellent,4-Wheel Drive,Not Specified,Not Specified,Automatic,3.4L,6,Gasoline,4,Not Specified,226000,JT3HN87R9W0174573,Clean Title,White,Tan,14500,825
2007,Toyota,RAV4,Not Specified,SUV,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Automatic,Not Specified,6,Not Specified,Not Specified,Not Specified,248000,JTMBK35V475021360,Clean Title,Red,Not Specified,5500,88
2017,Toyota,Tacoma,TRD Off Road,Truck,Not Specified,Not Specified,Good,Very Good,4-Wheel Drive,Not Specified,Not Specified,Automatic,3.5L,6,Gasoline,4,Not Specified,98500,3TMCZ5AN1HM108615,Clean Title,Silver,Black,30000,363
2010,Toyota,Corolla,S,Sedan,Not Specified,Not Specified,Very Good,Excellent,FWD,Not Specified,Not Specified,Automatic,2.4L,4,Gasoline,4,Not Specified,133000,2T1BU4EE4AC456373,Clean Title,Gray,Gray,8200,176
2020,Toyota,Avalon,Hybrid XSE,Sedan,Not Specified,Not Specified,Excellent,Excellent,Not Specified,Not Specified,Not Specified,Automatic,Not Specified,4,Not Specified,4,Not Specified,30000,4T1E21FB7LU016669,Clean Title,Silver,Not Specified,29500,55
2005,Toyota,Camry,LE,Sedan,Not Specified,Not Specified,Fair,Fair,FWD,Not Specified,Not Specified,Automatic,2.4L,4,Gasoline,4,5,217500,4T1BE32K65U967671,Clean Title,Silver,Gray,3500,179
2006,Toyota,RAV4,LE,Sport Utility,Not Specified,Not Specified,Very Good,Excellent,4-Wheel Drive,Not Specified,Not Specified,Automatic,2.4L,4,Gasoline,4,5,121900,JTMBD31V265034574,Clean Title,White,Gray,7950,229
2008,Toyota,Avalon,Touring,Sedan,Not Specified,Not Specified,Good,Very Good,FWD,Not Specified,Not Specified,Automatic,3.5L,6,Gasoline,4,5,226900,4T1BK36B28U300104,Clean Title,Silver,Gray,4900,96
2023,Toyota,Tacoma,TRD Sport,Truck,Crew Cab,Shortbed,Excellent,Excellent,4-Wheel Drive,Not Specified,Not Specified,Automatic,3.5L,6,Gasoline,4,5,3500,3TMCZ5AN6PM597768,Clean Title,White,Black,43900,168
2000,Toyota,Land Cruiser,SR5,SUV,Not Specified,Not Specified,Good,Good,4-Wheel Drive,Not Specified,Not Specified,Automatic,4.7L,8,Gasoline,4,Not Specified,218000,JT3HT05J5Y0117889,Rebuilt/Reconstructed Title,White,Not Specified,12900,289
2022,Toyota,Tacoma,Not Specified,Truck,Not Specified,Not Specified,Excellent,Excellent,4-Wheel Drive,Not Specified,Not Specified,Automatic,Not Specified,Not Specified,Gasoline,4,Not Specified,3720,3TYCZ5AN3NT064715,Clean Title,Gray,Black,57000,106
2013,Toyota,Corolla,LE,Sedan,Not Specified,Not Specified,Fair,Fair,FWD,Not Specified,Not Specified,Not Specified,1.8L,4,Gasoline,4,5,16500,5YFBU4EE6DP172702,Clean Title,Silver,Gray,8500,0
2006,Toyota,Sienna,CE 7 Passenger,Minivan,Regular Cab,Shortbed,Good,Very Good,FWD,Not Specified,Not Specified,Automatic,3.3L,6,Gasoline,4,7,250000,5TDZA23C56S497736,Clean Title,Gold,Gray,2500,210
